objectid,fmr_code,fmr_areaname,fmr_0bdr,fmr_1bdr,fmr_2bdr,fmr_3bdr,fmr_4bdr,shape__area,shape__length
602,METRO46220N01107,"Pickens County, AL HUD Metro FMR Area",588,591,776,994,1290,3307673719.6523438,273481.3707168894
603,METRO46300N16053,"Jerome County, ID HUD Metro FMR Area",819,986,1186,1599,1990,2890021326.9726562,247021.60925060257
604,METRO46300N16083,"Twin Falls County, ID HUD Metro FMR Area",885,979,1284,1786,2154,9153467119.679688,506547.3741944573
605,METRO46340M46340,"Tyler, TX MSA",984,1089,1338,1793,1981,3458467982.2851562,354800.04383027914
606,METRO46520M46520,"Urban Honolulu, HI MSA",1877,2016,2642,3674,4432,1813722372.5664062,477187.2622043884
607,METRO46540M46540,"Utica-Rome, NY MSA",899,926,1172,1405,1623,13297609220.261719,676116.8851161832
608,METRO46660M46660,"Valdosta, GA MSA",915,921,1192,1583,1915,5739857484.712891,417131.2729853073
609,METRO46700M46700,"Vallejo, CA MSA",1567,1705,2178,2911,3297,3743966151.1757812,340424.0253656218
610,METRO47020M47020,"Victoria, TX MSA",1146,1153,1442,1729,1909,5907007183.4375,451684.0583713888
611,METRO47220M47220,"Vineland, NJ MSA",1280,1375,1673,2303,2311,2183135555.2617188,270795.5755570838
612,METRO47260M37029,"Camden County, NC HUD Metro FMR Area",1121,1139,1287,1790,2159,962323265.7109375,290575.6142002659
613,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC HUD Metro FMR Area",1492,1512,1713,2376,2797,9788367741.503906,3664533.475232685
614,METRO47260N37073,"Gates County, NC HUD Metro FMR Area",1489,1513,1709,2364,2794,1380407495.2265625,168601.30009067108
615,METRO47260N51181,"Surry County, VA HUD Metro FMR Area",905,920,1039,1445,1743,1148654111.1835938,200507.6208942268
616,METRO47300M47300,"Visalia, CA MSA",1116,1123,1474,2028,2393,19293344845.796875,645719.7788889892
617,METRO47380M47380,"Waco, TX HUD Metro FMR Area",850,996,1240,1599,1644,3793023682.2226562,248653.86301967275
618,METRO47380N48035,"Bosque County, TX HUD Metro FMR Area",671,742,973,1283,1288,3613588943.28125,304772.4933067217
619,METRO47380N48145,"Falls County, TX HUD Metro FMR Area",671,742,973,1353,1632,2751100455.96875,213954.07889679517
620,METRO47460M47460,"Walla Walla, WA MSA",1074,1181,1550,2118,2600,7028487930.28125,408345.75590502965
621,METRO47580M47580,"Warner Robins, GA HUD Metro FMR Area",1106,1221,1362,1821,2148,1385988792.5273438,228061.43074345248
622,METRO47580N13225,"Peach County, GA HUD Metro FMR Area",885,1030,1129,1466,1495,553384442.4257812,141168.2895992413
623,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",1953,2015,2246,2835,3332,21547068895.57422,1754889.358946501
624,METRO47900MM3630,"Jefferson County, WV HUD Metro FMR Area",947,953,1251,1740,2099,916920053.1015625,167678.22870135854
625,METRO47900MM8820,"Warren County, VA HUD Metro FMR Area",953,1002,1315,1754,2206,933305481.1171875,160086.2887301677
626,METRO47900N51047,"Culpeper County, VA HUD Metro FMR Area",1149,1170,1423,1978,2007,1620005750.78125,264804.7367144195
627,METRO47900N51157,"Rappahannock County, VA HUD Metro FMR Area",1198,1254,1375,1649,2307,1137428415.8476562,170735.83531775294
628,METRO47930M01220,"Ansonia town, CT Exception Area",1246,1445,1788,2210,2864,28454202.4375,21839.724118097245
629,METRO47930M03250,"Beacon Falls town, CT Exception Area",1246,1445,1788,2210,2864,45158016.65625,32385.702916606562
630,METRO47930M14160,"Cheshire town, CT Exception Area",1279,1445,1788,2210,2608,154031495.3125,55331.41367447676
631,METRO47930M19550,"Derby town, CT Exception Area",1246,1445,1788,2210,2864,24847884.96875,27736.627310826156
632,METRO47930M47930,"Waterbury-Shelton, CT MSA",1246,1445,1788,2210,2608,1474335844.953125,248347.1965037314
633,METRO47930M58300,"Oxford town, CT Exception Area",1246,1445,1788,2210,2864,153716795.8828125,56189.88671761865
634,METRO47930M67610,"Seymour town, CT Exception Area",1246,1445,1788,2210,2864,68959805.1171875,39826.8778803772
635,METRO47940M47940,"Waterloo-Cedar Falls, IA HUD Metro FMR Area",725,801,1051,1357,1763,5113074036.441406,344761.4869191829
636,METRO47940N19017,"Bremer County, IA HUD Metro FMR Area",674,745,978,1290,1295,2113324088.4257812,185645.40110272987
637,METRO48060M48060,"Watertown-Fort Drum, NY MSA",969,1071,1405,1907,2340,6448520221.707031,1145889.9245438927
638,METRO48140M48140,"Wausau, WI MSA",791,889,1147,1511,1519,8136851468.1953125,380326.0524234982
639,METRO48260M48260,"Weirton-Steubenville, WV-OH MSA",752,757,973,1285,1482,2643534652.8710938,243269.48144178733
640,METRO48300M48300,"Wenatchee-East Wenatchee, WA MSA",1034,1143,1500,2063,2516,27803800448.390625,1089231.1575517037
641,METRO48540M48540,"Wheeling, WV-OH MSA",683,816,991,1277,1413,4249774784.9453125,297866.7080902239
642,METRO48620M48620,"Wichita, KS HUD Metro FMR Area",782,849,1099,1444,1784,12449815746.539062,483226.20738719765
643,METRO48620N20191,"Sumner County, KS HUD Metro FMR Area",751,812,1065,1277,1410,4850808352.433594,279456.97051733243
644,METRO48660M48660,"Wichita Falls, TX MSA",831,925,1136,1553,1759,10054025214.074219,484854.01593482395
645,METRO48680M48680,"Wildwood-The Villages, FL MSA",1076,1139,1328,1655,1937,1959175121.6523438,262678.6890934539
646,METRO48700M48700,"Williamsport, PA MSA",824,995,1195,1586,1737,5721002233.316406,355179.19945702015
647,METRO48900M37019,"Brunswick County, NC HUD Metro FMR Area",1242,1301,1426,1983,2392,3257985088.921875,912346.2347330659
648,METRO48900M48900,"Wilmington, NC HUD Metro FMR Area",1144,1513,1659,2178,2319,765642080.9726562,458247.08054607426
649,METRO48900N37141,"Pender County, NC HUD Metro FMR Area",1016,1064,1166,1622,1956,3354417305.75,557294.6072591998
650,METRO49020M49020,"Winchester, VA-WV MSA",1133,1255,1573,1965,2639,4627068403.0,352966.7964176908
651,METRO49180M49180,"Winston-Salem, NC HUD Metro FMR Area",995,1082,1232,1607,1898,5867634562.246094,456672.6036235717
652,METRO49180N37057,"Davidson County, NC HUD Metro FMR Area",816,876,960,1316,1591,2239556806.3398438,241873.78917860793
653,METRO49340M49340,"Worcester, MA HUD Metro FMR Area",1588,1599,2056,2548,2825,3950087032.2695312,340645.62520807923
654,METRO49340MM1120,"Eastern Worcester County, MA HUD Metro FMR Area",1493,1651,2166,3012,3380,855038711.3710938,246869.12785295854
655,METRO49340MM2600,"Fitchburg-Leominster, MA HUD Metro FMR Area",1206,1410,1749,2247,2637,1258807020.5078125,178159.64913405606
656,METRO49340N25027,"Western Worcester County, MA HUD Metro FMR Area",1096,1200,1532,2131,2570,1429560482.546875,333065.47900446417
657,METRO49420M49420,"Yakima, WA MSA",1040,1047,1374,1911,2093,23516979605.804688,749816.3141115353
658,METRO49620M49620,"York-Hanover, PA MSA",925,1060,1335,1796,1850,4015038598.6679688,335402.3872953831
659,METRO49660M49660,"Youngstown-Warren, OH MSA",735,771,973,1270,1345,4858867965.4921875,312541.74096082343
660,METRO49700M49700,"Yuba City, CA MSA",1166,1272,1550,2156,2600,5402062883.988281,516190.6159998667
661,METRO49740M49740,"Yuma, AZ MSA",1046,1053,1382,1892,2318,20271133429.054688,669997.728484007
662,NCNTY01005N01005,"Barbour County, AL",576,693,776,1017,1068,3257906792.8046875,320882.8479042022
663,NCNTY01011N01011,"Bullock County, AL",576,708,776,930,1302,2262904519.9414062,249092.79701158794
664,NCNTY01013N01013,"Butler County, AL",622,638,837,1004,1139,2794760978.5976562,221283.35719040546
665,NCNTY01017N01017,"Chambers County, AL",691,770,1002,1265,1327,2222662395.8476562,208606.04134836345
666,NCNTY01019N01019,"Cherokee County, AL",627,682,844,1012,1259,2276002219.8203125,237079.59352637283
667,NCNTY01023N01023,"Choctaw County, AL",578,616,778,1024,1179,3327536544.8203125,324953.78111670876
668,NCNTY01025N01025,"Clarke County, AL",588,603,791,1034,1261,4492990575.671875,455174.0146749914
669,NCNTY01027N01027,"Clay County, AL",576,591,776,1024,1027,2251227965.2382812,244308.31906678402
670,NCNTY01029N01029,"Cleburne County, AL",644,687,867,1082,1148,2103518738.2148438,264790.9458924377
671,NCNTY01031N01031,"Coffee County, AL",693,711,933,1298,1383,2426766484.435547,203468.71440454264
672,NCNTY01035N01035,"Conecuh County, AL",576,615,776,1079,1157,3042810006.8359375,309795.32434409205
673,NCNTY01037N01037,"Coosa County, AL",576,615,776,1079,1157,2456907531.8945312,209661.84832341608
674,NCNTY01039N01039,"Covington County, AL",576,591,776,999,1302,3710244590.595703,288483.993456395
675,NCNTY01041N01041,"Crenshaw County, AL",588,591,776,930,1027,2194020410.0546875,286131.19301428
676,NCNTY01043N01043,"Cullman County, AL",666,670,879,1137,1381,2861200514.4453125,295392.66131391266
677,NCNTY01045N01045,"Dale County, AL",603,690,776,1079,1302,2007843656.90625,200998.09964063714
678,NCNTY01047N01047,"Dallas County, AL",620,637,836,1103,1107,3615260195.5390625,375473.7302884445
679,NCNTY01049N01049,"DeKalb County, AL",576,591,776,992,1302,2973711655.8632812,274855.5529527204
680,NCNTY01053N01053,"Escambia County, AL",576,675,776,972,1203,3379387359.0058594,290489.6628969462
681,NCNTY01057N01057,"Fayette County, AL",576,671,776,1079,1157,2362301126.2851562,222371.13865331543
682,NCNTY01059N01059,"Franklin County, AL",576,704,776,976,1071,2467990401.7304688,210530.79166774984
683,NCNTY01071N01071,"Jackson County, AL",576,643,776,1004,1234,4336180086.363281,321762.71709470236
684,NCNTY01075N01075,"Lamar County, AL",618,636,776,1024,1040,2275683928.0039062,206364.6875409039
685,NCNTY01091N01091,"Marengo County, AL",582,693,783,1018,1187,3568505102.5390625,316844.2924839897
686,NCNTY01093N01093,"Marion County, AL",535,591,776,1039,1302,2818112637.3007812,229609.41301225947
687,NCNTY01095N01095,"Marshall County, AL",588,591,776,1069,1073,2374686943.2734375,273860.4364166056
688,NCNTY01099N01099,"Monroe County, AL",576,619,776,1079,1254,3702031810.1171875,338515.2245926402
689,NCNTY01105N01105,"Perry County, AL",596,636,803,963,1198,2651390391.25,263849.8208237872
690,NCNTY01109N01109,"Pike County, AL",677,695,912,1093,1208,2420437516.1015625,268538.65993526805
691,NCNTY01111N01111,"Randolph County, AL",536,634,778,980,1126,2171211724.7539062,193440.07404014727
692,NCNTY01119N01119,"Sumter County, AL",619,642,827,1107,1193,3341843978.5507812,370364.70884349314
693,NCNTY01121N01121,"Talladega County, AL",561,682,814,1107,1112,2831655045.0976562,328321.91283515724
694,NCNTY01123N01123,"Tallapoosa County, AL",637,663,857,1030,1216,2820620541.25,267238.89749657945
695,NCNTY01129N01129,"Washington County, AL",729,818,983,1292,1314,3882445490.3515625,315920.4251909268
696,NCNTY01131N01131,"Wilcox County, AL",632,656,843,1079,1261,3276690397.859375,319240.88316582557
697,NCNTY01133N01133,"Winston County, AL",576,631,776,1070,1150,2395469868.0859375,202009.43365127107
698,NCNTY02013N02013,"Aleutians East Borough, AK",993,1263,1385,1661,2281,56318509139.89844,7962012.587683907
699,NCNTY02016N02016,"Aleutians West Census Area, AK",1571,1670,2191,2652,2901,31317163206.546875,8425301.382755335
700,NCNTY02050N02050,"Bethel Census Area, AK",1688,1719,1938,2324,2566,456200126482.21875,9237934.430800354
701,NCNTY02060N02060,"Bristol Bay Borough, AK",891,1134,1243,1729,2047,4921349244.671875,357282.6253042927
702,NCNTY02063N02063,"Chugach Census Area, AK",1038,1374,1506,2094,2526,104812211282.03906,11353564.671421308
703,NCNTY02066N02066,"Copper River Census Area, AK",810,930,1130,1572,1896,292522692820.9297,3013574.4051542734
704,NCNTY02068N02068,"Denali Borough, AK",851,935,1187,1651,1955,166137406165.82812,2084187.822742326
705,NCNTY02070N02070,"Dillingham Census Area, AK",894,1138,1247,1734,2054,193454714878.4375,3421842.4964756984
706,NCNTY02100N02100,"Haines Borough, AK",945,1033,1321,1771,2088,23370718293.875,1868032.7893535788
707,NCNTY02105N02105,"Hoonah-Angoon Census Area, AK",1007,1113,1460,1751,1933,60877128420.96094,8100100.922847109
708,NCNTY02110N02110,"Juneau City and Borough, AK",1212,1340,1758,2368,2679,26062776786.882812,1855528.1939961582
709,NCNTY02122N02122,"Kenai Peninsula Borough, AK",993,1000,1312,1825,2201,171199210022.90625,7733923.091946661
710,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",1120,1238,1625,2260,2726,39159960328.11719,5208800.978104935
711,NCNTY02150N02150,"Kodiak Island Borough, AK",1431,1581,2075,2488,2747,61214321473.33594,9543417.30662547
712,NCNTY02158N02158,Kusilvak Census Area,698,767,973,1353,1602,212408996580.73438,5347630.413616334
713,NCNTY02164N02164,"Lake and Peninsula Borough, AK",739,894,1030,1391,1596,252044603510.3047,6392991.130470021
714,NCNTY02180N02180,"Nome Census Area, AK",1227,1334,1533,2132,2525,331437674333.9531,11219950.349426769
715,NCNTY02185N02185,"North Slope Borough, AK",1115,1239,1625,1958,2664,1853417372480.3281,16610082.381164867
716,NCNTY02188N02188,"Northwest Arctic Borough, AK",1331,1471,1930,2547,2676,616676191630.4688,7813965.802196467
717,NCNTY02195N02195,Petersburg Borough,1049,1211,1463,1754,2022,25485644216.953125,2866548.24653886
718,NCNTY02198N02198,"Prince of Wales-Hyder Census Area, AK",827,1030,1153,1464,1899,42274630205.63281,10762675.801742762
719,NCNTY02220N02220,"Sitka City and Borough, AK",1099,1350,1566,2178,2627,25739161133.28125,4837716.110784288
720,NCNTY02230N02230,"Skagway Municipality, AK",1133,1253,1644,2245,2708,4373418399.1640625,384872.3043806679
721,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",942,1198,1313,1826,2162,334446245111.9922,3645592.9141532807
722,NCNTY02275N02275,"Wrangell City and Borough, AK",921,928,1217,1682,2042,21695498721.992188,3180175.6435007355
723,NCNTY02282N02282,"Yakutat City and Borough, AK",995,1094,1388,1753,2286,80029846548.57031,3675593.9983723797
724,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",981,1019,1126,1566,1854,2229515082955.203,9554516.684061673
725,NCNTY04001N04001,"Apache County, AZ",810,903,1175,1599,1828,43844438229.65625,1216638.5224218613
726,NCNTY04007N04007,"Gila County, AZ",1120,1127,1479,1871,2170,18030915917.609375,1033026.374606954
727,NCNTY04009N04009,"Graham County, AZ",887,991,1244,1669,2087,17108283376.910156,667618.304788658
728,NCNTY04011N04011,"Greenlee County, AZ",798,970,1158,1388,1738,6855033006.488281,439803.2311452765
729,NCNTY04012N04012,"La Paz County, AZ",873,879,1153,1604,1934,16934764603.953125,707026.9496578593
730,NCNTY04017N04017,"Navajo County, AZ",937,1026,1309,1622,1733,38919541932.47656,1146778.2101502647
731,NCNTY04023N04023,"Santa Cruz County, AZ",778,860,1129,1570,1615,4424215484.332031,297946.6343449423
732,NCNTY05001N05001,"Arkansas County, AR",670,703,922,1159,1547,3950977426.7148438,409667.30025656766
733,NCNTY05003N05003,"Ashley County, AR",666,671,880,1055,1476,3487385291.6367188,284839.1247882374
734,NCNTY05005N05005,"Baxter County, AR",730,735,964,1274,1276,2343544067.3867188,266349.74457563355
735,NCNTY05009N05009,"Boone County, AR",607,671,880,1224,1343,2405893859.0898438,210857.12499265358
736,NCNTY05011N05011,"Bradley County, AR",630,710,880,1212,1476,2436148627.65625,301573.78504367825
737,NCNTY05013N05013,"Calhoun County, AR",724,771,1011,1212,1425,2364907114.3945312,309938.4980656548
738,NCNTY05015N05015,"Carroll County, AR",658,742,954,1144,1345,2554662503.734375,263936.3521278332
739,NCNTY05017N05017,"Chicot County, AR",630,671,880,1150,1282,2567589602.5273438,338436.7573694417
740,NCNTY05019N05019,"Clark County, AR",730,731,880,1221,1356,3339650038.8984375,369070.1119482967
741,NCNTY05021N05021,"Clay County, AR",658,671,880,1191,1240,2567032101.2382812,285845.8557701755
742,NCNTY05023N05023,"Cleburne County, AR",684,735,955,1228,1295,2321213767.0195312,197099.33853190645
743,NCNTY05025N05025,"Cleveland County, AR",630,671,880,1055,1240,2257225555.1171875,231430.10561065597
744,NCNTY05027N05027,"Columbia County, AR",647,688,903,1191,1196,2845160714.1210938,227384.14441808447
745,NCNTY05029N05029,"Conway County, AR",607,671,880,1224,1448,2205684945.6875,255633.0427815585
746,NCNTY05037N05037,"Cross County, AR",630,671,880,1224,1476,2424779116.921875,203599.19055238893
747,NCNTY05039N05039,"Dallas County, AR",630,671,880,1207,1240,2521822378.0078125,299825.2130506154
748,NCNTY05041N05041,"Desha County, AR",630,671,880,1208,1476,3058354945.9921875,476192.565985252
749,NCNTY05043N05043,"Drew County, AR",664,706,927,1224,1227,3128148357.0039062,234050.71037585282
750,NCNTY05047N05047,"Franklin County, AR",666,671,880,1094,1476,2429315028.5820312,270526.1656149035
751,NCNTY05049N05049,"Fulton County, AR",630,746,880,1145,1321,2484230054.5546875,224013.4741877896
752,NCNTY05055N05055,"Greene County, AR",648,772,905,1259,1492,2304295692.0898438,241944.65976678056
753,NCNTY05057N05057,"Hempstead County, AR",650,692,908,1188,1404,2782274433.9453125,306835.5474532078
754,NCNTY05059N05059,"Hot Spring County, AR",613,671,880,1155,1282,2368084233.6171875,266750.49667924
755,NCNTY05061N05061,"Howard County, AR",632,673,883,1059,1272,2254722483.2929688,299865.5725121916
756,NCNTY05063N05063,"Independence County, AR",684,688,891,1175,1180,3039739878.2382812,281154.2630650733
757,NCNTY05065N05065,"Izard County, AR",630,715,880,1202,1476,2320947549.359375,232415.93447297442
758,NCNTY05067N05067,"Jackson County, AR",630,671,880,1055,1165,2518296806.1015625,297023.66011664114
759,NCNTY05069N05069,"Jefferson County, AR",697,728,937,1224,1241,3482396010.1757812,345214.8509888144
760,NCNTY05071N05071,"Johnson County, AR",633,674,884,1083,1246,2683301364.1992188,256631.4874406216
761,NCNTY05073N05073,"Lafayette County, AR",630,671,880,1055,1240,2027391556.3164062,287438.2700195613
762,NCNTY05075N05075,"Lawrence County, AR",630,671,880,1089,1375,2351217355.671875,257828.93763408935
763,NCNTY05077N05077,"Lee County, AR",630,671,880,1224,1240,2394222453.6953125,306900.0012948124
764,NCNTY05079N05079,"Lincoln County, AR",630,671,880,1224,1240,2150375827.1992188,243118.46531929323
765,NCNTY05083N05083,"Logan County, AR",607,803,880,1224,1362,2838819358.1289062,318178.2469266278
766,NCNTY05089N05089,"Marion County, AR",650,692,908,1132,1280,2555983515.171875,264615.8256025812
767,NCNTY05093N05093,"Mississippi County, AR",624,671,880,1161,1165,3665935935.4335938,373520.68522894464
768,NCNTY05095N05095,"Monroe County, AR",660,671,880,1055,1240,2384911701.9179688,300876.94862067857
769,NCNTY05097N05097,"Montgomery County, AR",630,803,880,1096,1240,3064414615.0742188,227697.66067791043
770,NCNTY05099N05099,"Nevada County, AR",652,694,911,1092,1284,2326676242.0507812,245705.41198377218
771,NCNTY05101N05101,"Newton County, AR",614,803,880,1055,1476,3258462037.2734375,244365.1725075781
772,NCNTY05103N05103,"Ouachita County, AR",630,694,880,1133,1240,2768484195.6796875,347318.6840955208
773,NCNTY05107N05107,"Phillips County, AR",630,671,880,1224,1407,2775860668.3125,343049.7113431908
774,NCNTY05109N05109,"Pike County, AR",630,803,880,1224,1274,2328358475.21875,275899.5447982713
775,NCNTY05113N05113,"Polk County, AR",642,703,897,1076,1188,3292751797.9257812,265304.35558869503
776,NCNTY05115N05115,"Pope County, AR",647,715,938,1254,1258,3248594725.7382812,264685.5113231901
777,NCNTY05117N05117,"Prairie County, AR",630,671,880,1150,1240,2602891736.7851562,328528.0439775179
778,NCNTY05121N05121,"Randolph County, AR",630,681,880,1224,1282,2623560886.296875,270548.9703629725
779,NCNTY05123N05123,"St. Francis County, AR",661,703,923,1161,1310,2487053642.0195312,245123.976156478
780,NCNTY05127N05127,"Scott County, AR",630,671,880,1159,1240,3464024602.0546875,287571.5859965347
781,NCNTY05129N05129,"Searcy County, AR",630,671,880,1224,1240,2644473517.5390625,227630.94856581007
782,NCNTY05133N05133,"Sevier County, AR",666,671,880,1097,1210,2195939599.171875,307232.9024777878
783,NCNTY05135N05135,"Sharp County, AR",659,671,880,1224,1432,2415453979.265625,273111.5300015985
784,NCNTY05137N05137,"Stone County, AR",651,693,909,1264,1281,2408791531.8398438,255623.03698909748
785,NCNTY05139N05139,"Union County, AR",714,718,923,1111,1301,3911736223.21875,362158.9877829072
786,NCNTY05141N05141,"Van Buren County, AR",630,671,880,1186,1240,2840847504.484375,249749.24339454083
787,NCNTY05145N05145,"White County, AR",630,734,880,1149,1165,4056540400.1640625,415962.1838966317
788,NCNTY05147N05147,"Woodruff County, AR",630,803,880,1157,1240,2308898145.6875,321152.52029834286
789,NCNTY05149N05149,"Yell County, AR",687,692,880,1224,1358,3669888434.984375,346125.71907417395
790,NCNTY06003N06003,"Alpine County, CA",1068,1165,1529,2126,2527,3156005637.0078125,275565.4118444189
791,NCNTY06005N06005,"Amador County, CA",1387,1396,1698,2220,2714,2562527965.4921875,359598.55435577506
792,NCNTY06009N06009,"Calaveras County, CA",1078,1175,1542,2145,2316,4356213277.410156,367005.87951686786
793,NCNTY06011N06011,"Colusa County, CA",989,995,1306,1723,1729,4990771237.5703125,386043.0287655095
794,NCNTY06015N06015,"Del Norte County, CA",957,1222,1370,1905,2277,4718842871.2734375,396551.58524995553
795,NCNTY06021N06021,"Glenn County, CA",939,1038,1362,1807,2179,5796097731.734375,396797.8358848157
796,NCNTY06023N06023,"Humboldt County, CA",1112,1186,1550,2156,2600,16162422266.6875,811934.0872059165
797,NCNTY06027N06027,"Inyo County, CA",1058,1381,1514,1940,2540,41088427355.74219,1058774.1402206453
798,NCNTY06033N06033,"Lake County, CA",1173,1181,1549,2154,2599,5719581052.890625,468540.9732660217
799,NCNTY06035N06035,"Lassen County, CA",882,1016,1279,1779,2146,21275574669.375,776771.750086399
800,NCNTY06043N06043,"Mariposa County, CA",1016,1148,1454,2022,2439,6043147161.816406,427752.1332131151
801,NCNTY06045N06045,"Mendocino County, CA",1269,1306,1713,2382,2789,15272086154.824219,772340.2699435229
802,NCNTY06049N06049,"Modoc County, CA",774,883,1108,1434,1831,19477919646.89453,566359.9842759677
803,NCNTY06051N06051,"Mono County, CA",1171,1528,1675,2330,2769,13062965501.140625,694807.735970606
804,NCNTY06057N06057,"Nevada County, CA",1373,1382,1813,2521,3041,4217591073.2421875,433811.13723741204
805,NCNTY06063N06063,"Plumas County, CA",973,1075,1411,1962,1995,11549994947.273438,657319.2249744674
806,NCNTY06091N06091,"Sierra County, CA",1068,1165,1529,2126,2527,4200449577.4882812,375602.7583564056
807,NCNTY06093N06093,"Siskiyou County, CA",962,969,1249,1737,1915,29419021693.472656,895809.4152533415
808,NCNTY06103N06103,"Tehama County, CA",952,1038,1362,1865,2285,13137378334.253906,624791.4926662607
809,NCNTY06105N06105,"Trinity County, CA",829,916,1202,1636,1655,14448374569.554688,802309.05859322
810,NCNTY06109N06109,"Tuolumne County, CA",1096,1257,1589,2078,2666,9509363448.09375,628752.795329472
811,NCNTY08003N08003,"Alamosa County, CO",766,833,999,1389,1676,2987314188.4882812,224661.43815770815
812,NCNTY08007N08007,"Archuleta County, CO",1134,1141,1337,1859,2243,5542147923.0078125,332854.3767118296
813,NCNTY08009N08009,"Baca County, CO",746,771,973,1353,1525,10491690999.449219,413607.3508696262
814,NCNTY08011N08011,"Bent County, CO",772,777,1019,1417,1598,6430590597.613281,323583.72729122394
815,NCNTY08015N08015,"Chaffee County, CO",1110,1117,1466,2039,2298,4328004366.21875,386588.2072562166
816,NCNTY08017N08017,"Cheyenne County, CO",790,796,1044,1343,1637,7613550841.925781,373455.8320511813
817,NCNTY08021N08021,"Conejos County, CO",746,865,973,1332,1336,5279802496.203125,331488.6707204105
818,NCNTY08023N08023,"Costilla County, CO",737,742,973,1353,1525,5044736734.2734375,326902.5803108426
819,NCNTY08025N08025,"Crowley County, CO",976,982,1289,1546,2021,3373467236.0234375,243673.4210915624
820,NCNTY08027N08027,"Custer County, CO",853,856,1112,1333,1743,3100361633.65625,290994.59077499644
821,NCNTY08029N08029,"Delta County, CO",854,865,1114,1537,1869,4913548269.203125,340015.07053497166
822,NCNTY08033N08033,"Dolores County, CO",855,1017,1115,1423,1748,4433037474.199219,377983.2331296827
823,NCNTY08037N08037,"Eagle County, CO",1640,1813,2379,2852,3688,7395854603.1171875,390147.77706297766
824,NCNTY08043N08043,"Fremont County, CO",942,948,1244,1593,1647,6494926908.0859375,368300.73046363203
825,NCNTY08045N08045,"Garfield County, CO",1215,1223,1605,2232,2391,12911081549.3125,662380.0475569055
826,NCNTY08049N08049,"Grand County, CO",1107,1318,1475,1769,2474,8286034215.765625,526946.9206473257
827,NCNTY08051N08051,"Gunnison County, CO",1015,1149,1334,1855,2238,13869269451.652344,669945.2644260303
828,NCNTY08053N08053,"Hinsdale County, CO",867,873,1145,1461,1795,4669808239.433594,359599.2016434414
829,NCNTY08055N08055,"Huerfano County, CO",698,811,1013,1215,1588,6600175771.171875,473895.5412913505
830,NCNTY08057N08057,"Jackson County, CO",749,754,989,1262,1551,7304560866.453125,472651.7482331942
831,NCNTY08061N08061,"Kiowa County, CO",868,873,1146,1463,1797,7549913093.175781,424067.86530154705
832,NCNTY08063N08063,"Kit Carson County, CO",828,833,1093,1311,1714,9363594069.753906,400120.7253890103
833,NCNTY08065N08065,"Lake County, CO",1017,1024,1343,1714,2106,1658108649.4179688,213386.28796281086
834,NCNTY08067N08067,"La Plata County, CO",1181,1211,1589,1942,2288,6966608018.113281,371001.02838263806
835,NCNTY08071N08071,"Las Animas County, CO",796,880,1155,1425,1529,19590463104.460938,660024.1518001092
836,NCNTY08073N08073,"Lincoln County, CO",769,774,1016,1413,1593,11104428873.367188,501526.83831895975
837,NCNTY08075N08075,"Logan County, CO",769,839,1101,1452,1458,8328155248.230469,372711.6204013234
838,NCNTY08079N08079,"Mineral County, CO",1017,1024,1343,1714,2106,3634702484.1875,263045.38891604124
839,NCNTY08081N08081,"Moffat County, CO",881,887,1164,1396,1614,21378597710.3125,615436.3640128649
840,NCNTY08083N08083,"Montezuma County, CO",852,906,1180,1569,1850,8372827713.847656,400009.0556313035
841,NCNTY08085N08085,"Montrose County, CO",884,890,1168,1624,1959,9473395351.65625,544465.5340024307
842,NCNTY08087N08087,"Morgan County, CO",878,884,1160,1606,1824,5761403607.9609375,305025.0682824246
843,NCNTY08089N08089,"Otero County, CO",737,742,973,1303,1632,5290668252.1796875,335426.3302402408
844,NCNTY08091N08091,"Ouray County, CO",1170,1245,1526,2122,2392,2274816280.875,272615.622185089
845,NCNTY08095N08095,"Phillips County, CO",798,803,1054,1345,1652,3093819026.2148438,227633.73856335413
846,NCNTY08097N08097,"Pitkin County, CO",1526,2020,2214,2826,3471,4204962567.515625,360368.0503802718
847,NCNTY08099N08099,"Prowers County, CO",746,888,973,1249,1542,6861386165.765625,333326.7527344204
848,NCNTY08103N08103,"Rio Blanco County, CO",764,769,1009,1285,1582,14232867059.851562,615863.667964054
849,NCNTY08105N08105,"Rio Grande County, CO",839,976,1094,1312,1715,3769075953.4179688,271469.1410309919
850,NCNTY08107N08107,"Routt County, CO",1726,1845,2022,2424,3170,10614531007.5,532136.2569921133
851,NCNTY08109N08109,"Saguache County, CO",748,797,975,1295,1529,13273871054.957031,529491.0802438391
852,NCNTY08111N08111,"San Juan County, CO",945,1119,1227,1509,1924,1611963696.8984375,209303.3466316175
853,NCNTY08113N08113,"San Miguel County, CO",1245,1254,1645,2288,2579,5384599747.125,409162.4396016366
854,NCNTY08115N08115,"Sedgwick County, CO",746,759,973,1167,1525,2491281411.3945312,208249.56871872986
855,NCNTY08117N08117,"Summit County, CO",1701,1880,2467,2958,3268,2707645439.9179688,325658.98484128143
